Sample ID	Major/Minor clade	Sample collection year	Host species	Country/Municipality or City of origin	Tissue type
18-092	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-094	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-096	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-099	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-101	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-102	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-103	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-106	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-107	ASEAN SEA4	2018	Canine	Philippines/Compostela Valley	Brain
18-114	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-116	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-118	ASEAN SEA4	2018	Canine	Philippines/Digos Cogon	Brain
18-120	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-121	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-130	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-133	ASEAN SEA4	2018	Canine	Philippines/Tagum	Brain
18-135	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-138	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-142	ASEAN SEA4	2018	Canine	Philippines/Nabunturan	Brain
18-144	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-147	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-151	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-153	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-162	ASEAN SEA4	2018	Canine	Philippines/Samal	Brain
18-163	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-164	ASEAN SEA4	2018	Canine	Philippines/Digos	Brain
18-172	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-174	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-179	ASEAN SEA4	2018	Canine	Philippines/Cotabato	Brain
18-181	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-183	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-188	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-191	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-194	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-196	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-199	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-209	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-214	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-216	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-221	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-223	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-224	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
18-225	ASEAN SEA4	2018	Canine	Philippines/Davao	Brain
19-004	ASEAN SEA4	2019	Canine	Philippines/Davao	Brain
19-011	ASEAN SEA4	2019	Canine	Philippines/Davao	Brain
19-015	ASEAN SEA4	2019	Canine	Philippines/Davao	Brain
19-022	ASEAN SEA4	2019	Canine	Philippines/Davao	Brain
19-045	ASEAN SEA4	2019	Canine	Philippines/Davao	Brain
19-050	ASEAN SEA4	2019	Canine	Philippines/Panabo	Brain
