Country	Virus Name	Species	Species_latin_binomial	Year	Phylogenetic clade - subclade	Source	Accession number	Reference
Afghanistan	02052AFG	Dog 	(Canis familiaris)	2002	Arctic-related – AL1b	Original brain	KX148225	This study
Afghanistan	04029AFG	Dog 	(Canis familiaris)	2004	Arctic-related – AL1b	Original brain	KX148227	This study
Afghanistan	04035AFG	Dog 	(Canis familiaris)	2002	Arctic-related – AL1b	Original brain	KX148226	This study
Algeria	15006FRA	Dog 	(Canis familiaris)	2015	Cosmopolitan – AF1a	Original brain	KX148197	This study
Argentina	97004ARG	Bat 	(Tadarida brasiliensis)	1997	Bat - TB	Mouse	KX148269	This study
Belgium	94033BEL	Red fox	(Vulpes vulpes)	1994	Cosmopolitan - WE	Original brain	KX148125	This study
Benin	86097BEN	Cat	(Felis catus)	1986	Africa-2	Original brain	KX148107	This study
Bosnia and Herzegovina	86054YOU	Wolf	(Canis lupus)	1986	Cosmopolitan - EE	Mouse	KX148145	This study
Bosnia and Herzegovina	86111YOU	Red fox	(Vulpes vulpes)	1986	Cosmopolitan - WE	Mouse	KX148133	This study
Botswana	14016BOT	Wildcat	(Felis silvestris)	2009	Africa-3	Original brain	KX148218	This study
Botswana	14017BOT	Honey badger	(Mellivora capensis)	2009	Africa-3	Original brain	KX148219	This study
Brazil	86001BRE	Dog 	(Canis familiaris)	1986	Cosmopolitan – AM3a	Original brain	KX148216	This study
Brazil	86117BRE	Dog 	(Canis familiaris)	1986	Bat - DR	Original brain	KX148109	This study
Brazil	86123BRE	Dog 	(Canis familiaris)	1986	Cosmopolitan – AM3b	Mouse	KX148217	This study
Brazil	95022BRE	Dog 	(Canis familiaris)	1995	Cosmopolitan – AM3a	Original brain	KX148215	This study
Brazil	95023BRE	Dog 	(Canis familiaris)	1995	Cosmopolitan – AM3a	Original brain	KX148214	This study
Brazil	BR_AL1	Bat 	(Artibeus lituratus)	1998	Bat - DR	Original brain	AB519641	-1
Brazil	BR_DR1	Bat 	(Desmodus rotundus)	2000	Bat - DR	Original brain	AB519642	-1
Brazil	BR_Pfx1	Brazilian wild fox	(Dusicyon_sp.)	2002	Cosmopolitan – AM3b	Original brain	AB362483	-2
Brazil	BR_Pfx3	Brazilian wild fox	(Dusicyon_sp.)	2001	Cosmopolitan – AM3b	?	AB517660	Mochizuki et al., unpublished
Brazil	BRdg335	Dog 	(Canis familiaris)	2003	Cosmopolitan – AM3a	?	AB517659	Mochizuki et al., unpublished
Burkina Faso	86036HAV	Dog 	(Canis familiaris)	1986	Africa-2	Mouse	KX148234	This study
Burkina Faso	95047HAV	Dog 	(Canis familiaris)	1995	Africa-2	Original brain	KX148230	This study
Cambodia	02006CBG	Dog	 (Canis familiaris)	1998	Asian – SEA3	Original brain	KX148249	This study
Cambodia	99008CBG	Dog 	(Canis familiaris)	1999	Asian – SEA3	Original brain	KX148252	This study
Cambodia	99011CBG	Dog	 (Canis familiaris)	1998	Asian – SEA3	Original brain	KX148251	This study
Cambodia	99012CBG	Dog 	(Canis familiaris)	1998	Asian – SEA3	Original brain	KX148253	This study
Cambodia	99016CBG	Dog 	(Canis familiaris)	1999	Asian – SEA3	Original brain	KX148250	This study
Cameroon	88003CAM	Dog 	(Canis familiaris)	1987	Africa-2	Original brain	KX148243	This study
Cameroon	95002CAM	Dog 	(Canis familiaris)	1994	Africa-2	Original brain	KX148242	This study
Canada	RRV_ON_99	Raccoon	(Procyon lotor)	1999	RAC-SK – RAC	Original brain	EU311738	-3
Central African Republic	92029CAR	Dog 	(Canis familiaris)	1992	Cosmopolitan – AF1b	Original brain	KX148208	This study
Central African Republic	CAR_11_001	Human 	(Homo sapiens)	2011	Africa-2	Saliva	KF977826	-4
Chad	90021TCH	Dog 	(Canis familiaris)	1990	Africa-2	Original brain	KX148240	This study
Chad	96009TCH	Dog 	(Canis familiaris)	1996	Africa-2	Original brain	KX148241	This study
China	02046CHI	Dog	 (Canis familiaris)	1994	Asian – SEA2a	Mouse	KX148264	This study
China	02050CHI	Human 	(Homo sapiens)	1992	Asian – SEA1a	Mouse	KX148267	This study
China	98011CHI	Dog 	(Canis familiaris)	1998	Asian – SEA1b	Original brain	KX148265	This study
China	JX09_18	Ferret badger	(Melogale moschata)	2009	Asian – SEA2b	Original brain	KF726852	-5
China	JX10_37	Ferret badger	(Melogale moschata)	2010	Asian – SEA1b	Original brain	KF726853	-5
China	JX08_45	Ferret badger	(Melogale moschata)	2008	Asian – SEA2b	?	GU647092	Zhao et al., unpublished
China	JX09_17	Ferret badger	(Melogale moschata)	2009	Asian – SEA1b	Original brain	KC762941	-6
China	BJ2011E	Horse	(Equus ferus)	2011	Asian – SEA1b	?	JQ423952	Chen et al., unpublished
China	CHN0802D	Dog 	(Canis familiaris)	2008	Asian – SEA2a	Original brain	JQ970480	Tang et al., unpublished
