sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate
AY854502,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1045
AY854503,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1051
AY854504,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1044
AY854505,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1079
AY854506,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,Felis catus,16740188,V1082
AY854507,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1139
AY854508,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1053
AY854509,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1049
AY854510,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1081
AY854511,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,Felis catus,16740188,V1106
AY854512,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1048
AY854513,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1083
AY854514,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,529,30-Apr-05,25-Jan-12,Felis catus,16740188,V1099
AY854515,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1074
AY854516,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,529,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1047
AY854517,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1131
AY854518,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1136
AY854519,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1042
AY854520,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1103
AY854521,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1108
AY854522,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1110
AY854523,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,529,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1041
AY854524,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1109
AY854525,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1075
AY854526,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,530,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1080
AY854527,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Felis catus,16740188,V1050
AY854528,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1054
AY854529,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1085
AY854530,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1052
AY854531,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1121
AY854532,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,Felis catus,16740188,V1132
AY854533,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1107
AY854534,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,Felis catus,16740188,V1077
AY854535,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1058
AY854536,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1056
AY854537,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,529,30-Apr-05,25-Jan-12,Ovis aries,16740188,V1060
AY854538,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1087
AY854539,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1057
AY854540,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,Felis catus,16740188,V1113
AY854541,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1055
AY854542,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1063
AY854543,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1064
AY854544,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1067
AY854545,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1065
AY854546,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1122
AY854547,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1125
AY854548,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,1402,30-Apr-05,25-Jan-12,Ovis aries,16740188,V1088
AY854549,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,529,30-Apr-05,25-Jan-12,Sus scrofa,16740188,V1070
AY854550,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Bos taurus,16740188,V1092
AY854551,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1035
AY854552,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2000,2000,2000,1402,30-Apr-05,25-Jan-12,Capra hircus,16740188,V1069
AY854553,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,529,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1071
AY854554,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1127
AY854555,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,mongoose,16740188,V1091
AY854556,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,530,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1111
AY854557,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2001,2001,2001,530,30-Apr-05,25-Jan-12,Felis catus,16740188,V1089
AY854558,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,mongoose,16740188,V1101
AY854559,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Felis catus,16740188,V1129
AY854560,AL_Cosmopolitan_AM2a,Cosmopolitan AM2a,CUB,Cuba,-,2002,2002,2002,1402,30-Apr-05,25-Jan-12,Canis familiaris,16740188,V1114
