sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate
AB571004,AL_Arctic_AL2,Arctic AL2,MNG,Mongolia,Tuv,2007,2007,2007,1365,23-Sep-10,23-Sep-10,Canis lupus familiaris,20859006,MGL-22
AB699208,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Narshingdi,2010,2010,2010,1575,22-Aug-12,14-Dec-12,Bos taurus,23171512,BDR2
AB699209,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Dhaka,2010,2010,2010,1575,22-Aug-12,14-Dec-12,Bos taurus,23171512,BDR3
AB699210,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Narayanganj,2010,2010,2010,1575,22-Aug-12,14-Dec-12,Capra hircus,23171512,BDR4
AB699212,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Dhaka,2010,2010,2010,1575,22-Aug-12,14-Dec-12,Bos taurus,23171512,BDR6
AB699213,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Narayanganj,2010,2010,2010,1575,22-Aug-12,14-Dec-12,Bos taurus,23171512,BDR7
AB699214,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Dhaka,2010,2010,2010,1353,22-Aug-12,14-Dec-12,Canis lupus familiaris,23171512,BDR1
AB699215,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Narshingdi,2010,2010,2010,1353,22-Aug-12,14-Dec-12,Bos taurus,23171512,BDR2
AB699216,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Dhaka,2010,2010,2010,1353,22-Aug-12,14-Dec-12,Bos taurus,23171512,BDR3
AB699217,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Narayanganj,2010,2010,2010,1353,22-Aug-12,14-Dec-12,Capra hircus,23171512,BDR4
AB699218,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Dhaka,2010,2010,2010,1353,22-Aug-12,14-Dec-12,Bos taurus,23171512,BDR6
AB699219,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Narayanganj,2010,2010,2010,1353,22-Aug-12,14-Dec-12,Bos taurus,23171512,BDR7
AB699220,AL_Arctic_AL1a,Arctic AL1a,BGD,Bangladesh,Narayanganj,2010,2010,2010,11928,22-Aug-12,14-Dec-12,Capra hircus,23171512,BDR5
AB910532,AL_Arctic_AL1a,Arctic AL1a,BTN,Bhutan,Trashigang,2010,2010,2010,1353,20-Feb-14,20-Feb-14,Bos taurus,23171512,Btn115
AM689533,AL_Arctic_AL1a,Arctic AL1a,IND,India,Bangalore,2006,2006,2006,551,12-Apr-07,23-Jul-16,Canis familiaris,-,BNG4
AM689534,AL_Arctic_AL1a,Arctic AL1a,IND,India,Bangalore,2006,2006,2006,550,12-Apr-07,23-Jul-16,Canis familiaris,-,BNG5
AY854597,AL_Arctic_AL3,Arctic AL3,NPL,Nepal,-,1989,1989,1989,630,30-Apr-05,26-Jul-16,Canis familiaris,-,V028NEP
AY854598,AL_Arctic_AL3,Arctic AL3,NPL,Nepal,-,1989,1989,1989,630,30-Apr-05,26-Jul-16,Canis familiaris,-,V121NEP
AY854599,AL_Arctic_AL1a,Arctic AL1a,IND,India,-,1991,1991,1991,630,30-Apr-05,26-Jul-16,Bos taurus,-,V458IND
AY854602,AL_Arctic_A,Arctic A,GRL,Greenland,-,2001,2001,2001,630,30-Apr-05,26-Jul-16,Vulpes vulpes,-,V886GLD
DQ010124,AL_Arctic_A,Arctic A,CAN,Canada,Arctic,1989,1989,1989,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV163
DQ010125,AL_Arctic_A,Arctic A,RUS,Russia,Yakutia,1988,1988,1988,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV255
DQ010127,AL_Arctic_A,Arctic A,RUS,Russia,Yakutia,1990,1990,1990,400,22-Feb-06,26-Jul-16,Equus caballus,16198016,RV443
DQ010129,AL_Arctic_A,Arctic A,RUS,Russia,Yakutia,2002,2002,2002,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV1336
DQ010130,AL_Arctic_A,Arctic A,RUS,Russia,Yakutia,2002,2002,2002,400,22-Feb-06,26-Jul-16,reindeer,-,RV1337
DQ010131,AL_Arctic_A,Arctic A,RUS,Russia,Yakutia,2002,2002,2002,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV1338
DQ010132,AL_Arctic_A,Arctic A,GRL,Greenland,Thule,1990,1990,1990,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV1391
DQ010133,AL_Arctic_A,Arctic A,GRL,Greenland,Christianshab,1990,1990,1990,400,22-Feb-06,26-Jul-16,Canis familiaris,-,RV1392
DQ010134,AL_Arctic_A,Arctic A,GRL,Greenland,Nuuk,1990,1990,1990,400,22-Feb-06,26-Jul-16,reindeer,-,RV1393
DQ010136,AL_Arctic_A,Arctic A,GRL,Greenland,Sisimiut,1991,1991,1991,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV1396
DQ010137,AL_Arctic_A,Arctic A,GRL,Greenland,Nuuk,1993,1993,1993,400,22-Feb-06,26-Jul-16,Canis familiaris,-,RV1398
DQ010138,AL_Arctic_A,Arctic A,GRL,Greenland,Sisimiut,1993,1993,1993,400,22-Feb-06,26-Jul-16,Vulpes vulpes,-,RV1400
DQ010139,AL_Arctic_A,Arctic A,GRL,Greenland,Nanortalik,1993,1993,1993,400,22-Feb-06,26-Jul-16,Vulpes vulpes,-,RV1401
DQ010140,AL_Arctic_A,Arctic A,GRL,Greenland,Julianehab,1993,1993,1993,400,22-Feb-06,26-Jul-16,Vulpes vulpes,-,RV1402
DQ010141,AL_Arctic_A,Arctic A,GRL,Greenland,Upernavik,1994,1994,1994,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV1407
DQ010142,AL_Arctic_A,Arctic A,GRL,Greenland,Narssaq,1994,1994,1994,400,22-Feb-06,26-Jul-16,Canis familiaris,-,RV1410
DQ010143,AL_Arctic_A,Arctic A,GRL,Greenland,Gronnedal,1997,1997,1997,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV1413
DQ010144,AL_Arctic_A,Arctic A,GRL,Greenland,Kangerlussuaq,2001,2001,2001,400,22-Feb-06,26-Jul-16,Vulpes vulpes,-,RV1415
DQ010145,AL_Arctic_A,Arctic A,GRL,Greenland,Nuuk,2002,2002,2002,400,22-Feb-06,26-Jul-16,Vulpes vulpes,-,RV1416
DQ010146,AL_Arctic_A,Arctic A,GRL,Greenland,Kangerlussuaq,2002,2002,2002,400,22-Feb-06,26-Jul-16,Vulpes vulpes,-,RV1418
DQ010147,AL_Arctic_A,Arctic A,GRL,Greenland,Ilulissat,2002,2002,2002,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV1419
DQ010148,AL_Arctic_A,Arctic A,GRL,Greenland,Kangerlussuaq,2002,2002,2002,400,22-Feb-06,26-Jul-16,Vulpes vulpes,16198016,RV1420
DQ076093,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2002,2002,2002,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRDG0204HC
DQ076094,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2002,2002,2002,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD0204CW
DQ076095,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2004,2004,2004,1575,18-Nov-05,18-Nov-05,Bos taurus,16051390,SKRBV0403CW
DQ076096,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2002,2002,2002,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD0205HC
DQ076097,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2004,2004,2004,1575,18-Nov-05,18-Nov-05,Bos taurus,16051390,SKRBV0404HC
DQ076098,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2004,2004,2004,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD0406CC
DQ076099,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD9903YG
DQ076100,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRDG9901GY
DQ076101,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRDG9902GY
DQ076102,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD9902PJ
DQ076103,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD9901PJ
DQ076104,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2002,2002,2002,1575,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRDG0203CW
DQ076105,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1998,1998,1998,1575,18-Nov-05,18-Nov-05,Bos taurus,16051390,SKRBV9801YC
DQ076119,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1998,1998,1998,1353,18-Nov-05,18-Nov-05,Bos taurus,16051390,SKRBV9801YC
DQ076120,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1998,1998,1998,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRDG9902GY
DQ076121,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD9902PJ
DQ076122,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRDG9901GY
DQ076123,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD9901PJ
DQ076124,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2002,2002,2002,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRDG0203CW
DQ076125,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2002,2002,2002,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRDG0204CW
DQ076126,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2004,2004,2004,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD0406CC
DQ076127,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2002,2002,2002,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD0205HC
DQ076128,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2002,2002,2002,1353,18-Nov-05,18-Nov-05,Canis familiaris,16051390,SKRRD0204HC
DQ076129,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2004,2004,2004,1353,18-Nov-05,18-Nov-05,Bos taurus,16051390,SKRBV0403CW
DQ076130,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,2004,2004,2004,1353,18-Nov-05,18-Nov-05,Bos taurus,16051390,SKRBV0404HC
DQ076131,AL_Arctic_AL2,Arctic AL2,KOR,South Korea,-,1999,1999,1999,1353,18-Nov-05,18-Nov-05,Bos taurus,16051390,SKRRD9903YG
DQ146162,AL_Arctic_AL1a,Arctic AL1a,GBR,United Kingdom,-,2005,2005,2005,400,15-Aug-05,26-Jul-16,Canis familiaris,-,RV1964
DQ275551,AL_Arctic_A,Arctic A,GRL,Greenland,-,1990,1990,1990,604,10-Dec-05,26-Jul-16,Vulpes vulpes,-,V864GLD
DQ275553,AL_Arctic_A,Arctic A,GRL,Greenland,-,2001,2001,2001,599,10-Dec-05,26-Jul-16,Vulpes vulpes,-,v888GLD
