SequenceID	Accession	GenBankName	Strain	Region	Year	Country	IslandGroup	Region	Province	Municipality	Species_latin_binomial
TRa-002_III_2008	AB563838	RV/R3.PHL/2008/TRa-002	TRa-002	III	2008	Philippines	Luzon	III	Pampanga	San Simon	Canis familiaris
TRa-005_V_2008	AB563839	RV/R5.PHL/2008/TRa-005	TRa-005	V	2008	Philippines	Luzon	V	Albay	Tabaco City	Canis familiaris
TRa-006_III_2008	AB563840	RV/R3.PHL/2008/TRa-006	TRa-006	III	2008	Philippines	Luzon	III	Pampanga	Minalin	Canis familiaris
TRa-009_III_2008	AB563841	RV/R3.PHL/2008/TRa-009	TRa-009	III	2008	Philippines	Luzon	III	Nueva Ecija	Lupao	Canis familiaris
TRa-010_III_2008	AB563842	RV/R3.PHL/2008/TRa-010	TRa-010	III	2008	Philippines	Luzon	III	Pampanga	Santa Ana	Canis familiaris
TRa-011_III_2008	AB563843	RV/R3.PHL/2008/TRa-011	TRa-011	III	2008	Philippines	Luzon	III	Zambales	Subic	Felis catus
TRa-013_III_2008	AB563844	RV/R3.PHL/2008/TRa-013	TRa-013	III	2008	Philippines	Luzon	III	Tarlac	Concepcion	Canis familiaris
TRa-014_X_2008	AB563845	RV/R10.PHL/2008/TRa-014	TRa-014	X	2008	Philippines	Mindanao	X	Misamis Oriental	Cagayan de Oro City	Canis familiaris
TRa-016_III_2008	AB563846	RV/R3.PHL/2008/TRa-016	TRa-016	III	2008	Philippines	Luzon	III	Zambales	San Antonio	Canis familiaris
TRa-017_III_2008	AB683585	RV/R3.PHL/2008/TRa-017	TRa-017	III	2008	Philippines	Luzon	III	Pampanga	Mexico	Canis familiaris
TRa-018_III_2008	AB563847	RV/R3.PHL/2008/TRa-018	TRa-018	III	2008	Philippines	Luzon	III	Zambales	San Antonio	Canis familiaris
TRa-019_III_2008	AB563848	RV/R3.PHL/2008/TRa-019	TRa-019	III	2008	Philippines	Luzon	III	Pampanga	Mabalacat	Canis familiaris
TRa-020_III_2008	AB563849	RV/R3.PHL/2008/TRa-020	TRa-020	III	2008	Philippines	Luzon	III	Pampanga	Santa Rita	Canis familiaris
TRa-021_III_2008	AB563850	RV/R3.PHL/2008/TRa-021	TRa-021	III	2008	Philippines	Luzon	III	Nueva Ecija	Quezon	Canis familiaris
