sequence.sequenceID,alignment.name,alignment.displayName,sequence.m49_country.id,sequence.m49_country.display_name,sequence.gb_place_sampled,sequence.collection_year,sequence.earliest_collection_year,sequence.latest_collection_year,sequence.gb_length,sequence.gb_create_date,sequence.gb_update_date,sequence.host,sequence.gb_pubmed_id,sequence.isolate
JF973739,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1972,1972,1972,1400,28-Jun-11,25-Jul-16,Vulpes vulpes,21632560,RV1147
JF973740,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1972,1972,1972,1400,28-Jun-11,25-Jul-16,Vulpes vulpes,21632560,RV1151
JF973741,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1976,1976,1976,1400,28-Jun-11,25-Jul-16,Vulpes vulpes,21632560,RV1154
JF973744,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1977,1977,1977,1400,28-Jun-11,25-Jul-16,feline,21632560,RV1162
JF973749,AL_Cosmopolitan_YUGCOW,Cosmopolitan YUGCOW,MNE,Montenegro,-,1978,1978,1978,1400,28-Jun-11,25-Jul-16,Bos taurus,21632560,RV1185
JF973774,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1972,1972,1972,1353,28-Jun-11,28-Jun-11,Vulpes vulpes,21632560,RV1147
JF973775,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1972,1972,1972,1353,28-Jun-11,28-Jun-11,Vulpes vulpes,21632560,RV1151
JF973776,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1976,1976,1976,1353,28-Jun-11,28-Jun-11,Vulpes vulpes,21632560,RV1154
JF973779,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1977,1977,1977,1353,28-Jun-11,28-Jun-11,feline,21632560,RV1162
JF973781,AL_Cosmopolitan_YUGCOW,Cosmopolitan YUGCOW,MNE,Montenegro,-,1978,1978,1978,1353,28-Jun-11,28-Jun-11,Bos taurus,21632560,RV1185
JF973784,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1986,1986,1986,1353,28-Jun-11,28-Jun-11,Vulpes vulpes,21632560,RV1194
JF973825,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1974,1974,1974,400,28-Jun-11,25-Jul-16,Vulpes vulpes,21632560,RV1153
KX148104,AL_Cosmopolitan_YUGCOW,Cosmopolitan YUGCOW,MNE,Montenegro,-,1978,1978,1978,11923,28-Nov-16,28-Nov-16,Bos taurus,-,86058YOU
KX148161,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1972,1972,1972,11801,28-Nov-16,28-Nov-16,Vulpes vulpes,-,86133SER
MG458309,AL_Cosmopolitan_YUGCOW,Cosmopolitan YUGCOW,SRB,Serbia,-,1978,1978,1978,11923,31-Jan-18,31-Jan-18,Canis familiaris,29357361,RV1185
AF134344,AL_Cosmopolitan_YUGCOW,Cosmopolitan YUGCOW,SRB,Serbia,-,1981,1981,1981,690,01-Mar-00,30-Jul-02,Bos taurus,10573146,8658YOU
AF134345,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,SRB,Serbia,-,1976,1976,1976,690,01-Mar-00,30-Jul-02,Vulpes vulpes,10573146,86107YOU
AF325463,AL_Cosmopolitan_YUGCOW,Cosmopolitan YUGCOW,-,Yugoslavia,-,1984,1984,1984,2091,20-Aug-01,20-Aug-01,Bos taurus,11483755,YUG1-WF
KU055537,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,POL,Poland,-,-,-,2016,211,15-Jul-16,15-Jul-16,Homo sapiens,27380028,8617POL
U22839,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,-,Yugoslavia,-,1972,1972,1972,1350,21-Jul-95,01-Nov-95,Vulpes vulpes,7778285,86106YOU
U42703,AL_Cosmopolitan_YUGFOX,Cosmopolitan YUGFOX,-,Yugoslavia,-,1976,1976,1976,1443,05-Jan-99,29-Jan-99,Vulpes vulpes,-,86107YOU
U42705,AL_Cosmopolitan_YUGCOW,Cosmopolitan YUGCOW,-,Yugoslavia,-,1981,1981,1981,1443,05-Jan-99,29-Jan-99,Bos taurus,-,8658YOU
